seed,env_id,mode,sequence,start_frame,observed_first_episode_s,censored,termination_reasons,common_prefix_steps,common_joint_rmse_rad,common_body_rmse_m,initial_tilt_degrees,root_z,collision_min_height_m,height_lift_m
17,0,nominal,fightAndSports1_subject4,2397.0,0.86,False,root_low,28,0.2402220810370692,0.12571470966524403,0.0,0.7929999828338623,0.0011363429948687553,0.0
17,1,nominal,walk4_subject1,1236.0,1.54,False,tilted,44,0.1150649034375485,0.054934929980426296,0.0,0.7929999828338623,0.0011363429948687553,0.0
17,2,nominal,fightAndSports1_subject1,5556.0,1.4000000000000001,False,tilted,46,0.1416446305740058,0.04778763911372645,0.0,0.7929999828338623,0.0011363429948687553,0.0
17,3,nominal,sprint1_subject4,1640.0,1.18,False,root_low,59,0.08175892593998546,0.09487976745823729,0.0,0.7929999828338623,0.0011363429948687553,0.0
17,0,candidate,fightAndSports1_subject4,2397.0,0.56,False,tilted,28,0.12302085488896274,0.1551624262075882,8.056491309493316,0.7929999828338623,0.004728636704385281,0.0
17,1,candidate,walk4_subject1,1236.0,0.88,False,root_low,44,0.14320992679359834,0.1296190564485933,10.87850178493664,0.8308771252632141,1.0710209608078003e-07,0.03787711635231972
17,2,candidate,fightAndSports1_subject1,5556.0,0.92,False,root_low,46,0.1279110497303776,0.10768567099095822,11.612339129118066,0.7929999828338623,0.010303664021193981,0.0
17,3,candidate,sprint1_subject4,1640.0,1.2,False,root_low,59,0.08337181740190971,0.09707914365813827,5.620023072448258,0.813507616519928,7.729977369308472e-08,0.02050762251019478
18,0,nominal,aiming2_subject2,1110.0,1.06,False,root_low,53,0.11020858146411965,0.12129858855882798,0.0,0.7929999828338623,0.0011363429948687553,0.0
18,1,nominal,aiming2_subject3,9140.0,1.32,False,tilted,66,0.13958331704348542,0.11845463957492881,0.0,0.7929999828338623,0.0011363429948687553,0.0
18,2,nominal,obstacles3_subject4,702.0,0.76,False,tilted,35,0.1517150968705614,0.1049015270027807,0.0,0.7929999828338623,0.0011363429948687553,0.0
18,3,nominal,obstacles6_subject1,1996.0,0.76,False,root_low,36,0.15987515042647704,0.09747826055149256,0.0,0.7929999828338623,0.0011363429948687553,0.0
18,0,candidate,aiming2_subject2,1110.0,1.1400000000000001,False,root_low,53,0.09275277267739375,0.08517597618152152,5.511118906478889,0.8004294037818909,1.9650906324386597e-07,0.007429399527609348
18,1,candidate,aiming2_subject3,9140.0,1.46,False,root_low,66,0.08388909646863794,0.06634878307115348,5.549624100291184,0.8050038814544678,-1.955777406692505e-08,0.012003925628960133
18,2,candidate,obstacles3_subject4,702.0,0.7000000000000001,False,tilted,35,0.08639273602018718,0.09657571605078522,4.520159883262946,0.7929999828338623,0.004307839088141918,0.0
18,3,candidate,obstacles6_subject1,1996.0,0.72,False,root_low,36,0.1311901647069447,0.09228924915554368,11.619168283493646,0.831890881061554,2.859160304069519e-07,0.03889087960124016
19,0,nominal,fallAndGetUp3_subject1,1468.0,0.64,False,root_low,13,0.28152201155260803,0.18609188862205814,0.0,0.7929999828338623,0.0011363429948687553,0.0
19,1,nominal,walk1_subject2,4492.0,1.18,False,root_low,25,0.17478228100432175,0.07074594439257546,0.0,0.7929999828338623,0.0011363429948687553,0.0
19,2,nominal,dance2_subject4,74.0,1.32,False,tilted,66,0.12979391415543906,0.1120959610716452,0.0,0.7929999828338623,0.0011363429948687553,0.0
19,3,nominal,aiming1_subject1,4940.0,1.56,False,root_low,54,0.1335465756363709,0.07944685418090654,0.0,0.7929999828338623,0.0011363429948687553,0.0
19,0,candidate,fallAndGetUp3_subject1,1468.0,0.26,False,root_low,13,0.1385268022605922,0.07017550169361639,34.57515790687524,0.7929999828338623,0.13060487806797028,0.0
19,1,candidate,walk1_subject2,4492.0,0.5,False,tilted,25,0.13674630605210294,0.13789298069780245,13.185021406303171,0.7929999828338623,0.03054020181298256,0.0
19,2,candidate,dance2_subject4,74.0,1.74,False,tilted,66,0.05561553401641692,0.03291026142442714,4.363601008627136,0.8145288825035095,9.592622518539429e-08,0.021528925746679306
19,3,candidate,aiming1_subject1,4940.0,1.08,False,root_low,54,0.14260115367207987,0.1542917216910997,7.474531763465294,0.8076353669166565,-1.955777406692505e-08,0.014635373838245869
